id,name,type,region_label,country,city,priority,strategic_tier,status_legacy,local_priority,focus_areas,programs,website,phone,last_contacted,days_dormant,final_action,notes,contact_1_name,contact_1_role,contact_1_email,contact_2_name,contact_2_role,contact_2_email,contact_3_name,contact_3_role,contact_3_email
e0027,The Paris School of Business,university,Europe,"Paris, France",,Cold-storage,,No answer,,,Synergies,,,,,,,Mr. Simon CHARRIER,Head of International Relations,s.charrier@psbedu.paris,,,,,,
e0028,Universidade Nova de Lisboa (eng),university,Europe,Portugal,,Cold-storage,,No answer,,,Synergies,,,,,,,,International Relations Unit,internacional@ulisboa.pt,,,,,,
e0029,ISCTE Business School (eng),university,Europe,Portugal,,Cold-storage,,No answer,,,Synergies,,,,,,,,International Relations Office,iro@iscte-iul.pt,,,,,,
e0030,University of Minho (in English?),university,Europe,Portugal,,Cold-storage,,No answer,,,Synergies,,,,,,,,,,,,,,,
e0031,John Cabot University (eng),university,Europe,"Rome, Italy",,Cold-storage,,No answer,,,Synergies,,,,,,,,,,,,,,,
e0032,The American University of Rome (eng),university,Europe,"Rome, Italy",,Cold-storage,,No answer,,,Synergies,,,,,,,,,admissions@aur.edu,,,,,,
e0033,NTF University,university,Europe,Slovenia,,,,,,,,,,,,,,,,,,,,,,
e0034,IE University (eng),university,Europe,Spain,,Not interested,,Not interested,,,Synergies,,,,,,,,,,,,,,,
e0035,Universitat Pompeu Fabra (eng),university,Europe,Spain,,Cold-storage,,No answer,,,Synergies,,,,,,,,International Relations Service,uri@upf.edu,,,,,,
e0036,Esade Business School (eng),university,Europe,Spain,,Cold-storage,,No answer,,,Synergies,,,,,,,Ms. Alexandra Castells,Director of Corporate Partnerships,alexandra.castells@esade.edu,,,,,,
e0037,University of Navarra (eng),university,Europe,Spain,,Cold-storage,,No answer,,,Synergies,,,,,,,Ms. María del Carmen Bielza,Institutional Exchange and Erasmus Coordinator,mcbielza@unav.es,,,,,,
e0038,University of Deusto (eng),university,Europe,Spain,,Cold-storage,,No answer,,,Synergies,,,,,,,,International Relations (Bilbao Campus),relint@deusto.es,,,,,,
e0039,EADA Business School (eng),university,Europe,Spain,,Cold-storage,,No answer,,,Synergies,,,,,,,,Info,info@eada.edu,,,,,,
e0040,Stockholm School of Economics (eng),university,Europe,Sweden,,,,,,,,,,,,,,,,,,,,,,
e0041,Umeå University (eng),university,Europe,Sweden,,,,,,,,,,,,,,,,,,,,,,
e0042,The Swedish School of Textiles (eng),university,Europe,Sweden,,,,,,,,,,,,,,International Office,International Office,internationalstudent@hb.se,,,,,,
e0043,Università della Svizzera italiana (USI),university,Europe,Switzerland,,Cold-storage,,No answer,,,Synergies,,,29 January 2025,,,,,International Relations and Mobility Service,relint@usi.ch,,,,,,
e0044,University of St. Gallen (HSG),university,Europe,Switzerland,,Cold-storage,,No answer,,,Synergies,,,29 January 2025,,,,,Student Mobility Services,Exchange@unisg.ch,,,,,,
e0045,University of Fribourg,university,Europe,Switzerland,,Cold-storage,,No answer,,,Synergies,,,29 January 2025,,,,,Outgoing student,international-outgoing@unifr.ch,,,,,,
e0046,University of Lucerne,university,Europe,Switzerland,,Cold-storage,,No answer,,,Synergies,,,29 January 2025,,,,,International Relations Office,international@unilu.ch,,,,,,
e0047,Webster University,university,Europe,"Vienna, Austria",,Cold-storage,,No answer,,,Synergies,,,,,,,,,admissions@webster.ac.at,,,,,,
e0048,University of Manchester,university,Europe,UK,,Cold,,Auto-reply,,,Summer Programs 2026 outreach,,,2026-03-30,,Auto-reply received,,,,,,,,,,
e0049,Warwick Business School (WBS),university,Europe,UK,,Not interested,,Bounced,,,Summer Programs 2026 outreach,,,2026-03-30,,Wrong email — bounced; find new contact,,,,,,,,,,
e0050,EPOKA University,university,Balkans & E. Europe,Albania,Tirana,,Applied Leader,,,"Architecture, Eng, CS, Business, Economics, Law",,epoka.edu.al,+355 42 232 086,,,,,Prof. Ahmet ÖZTAŞ (),Rector,rector@epoka.edu.al,,Intl. Relations,bcinar@epoka.edu.al,,,
e0051,Polis University,university,Balkans & E. Europe,Albania,Tirana,,Applied Leader,,,"Architecture, Urban Design, CS, Business Innovation — Innovation Factory; joint MBA with IPAG Paris",,universitetipolis.edu.al,+355 42 407 420,,,,,Flora KRASNIQI,Head of Intl. Unit,,,,,,,
e0052,Intl. Univ. of Sarajevo (IUS),university,Balkans & E. Europe,Bosnia & Herz.,Sarajevo,,Applied Leader,,,"Eng, Business, Law, Pol. Science, CS — US/UK liberal-arts model",,ius.edu.ba,+387 33 957 100,,,,,Prof. Ali Osman KUŞAKCI,Rector,,,Intl. Relations,mobility@ius.edu.ba,,,
e0053,Sofia University,university,Balkans & E. Europe,Bulgaria,Sofia,,Prestige Hub,,,"Sciences, IT, Humanities, Law, Economics, Journalism",,uni-sofia.bg,+359 2 986 1597,,,,,,Intl. Relations,intern@admin.uni-sofia.bg,Irena ATANASOVA,Head of IRO,i.atanasova@admin.uni-sofia.bg,Tsvetan BOGDANOV,Erasmus Operative,tsvetan@admin.uni-sofia.bg
e0054,UNWE Sofia,university,Balkans & E. Europe,Bulgaria,Sofia,,Applied Leader,,,"Economics, Business, Finance, Informatics, Law",,unwe.bg,+359 2 8195 211,,,,,,Intl. Relations,erasmus@unwe.bg,,,,,,
e0055,New Bulgarian Univ. (NBU),university,Balkans & E. Europe,Bulgaria,Sofia,,Applied Leader,,,"IT, Business, Arts, Psychology, Design, Media",,nbu.bg,+359 2 8110 110,,,,,,Intl. Relations,erasmus@nbu.bg,Erasmus,,erasmus@nbu.bg,,,
e0056,Algebra Bernays University,university,Balkans & E. Europe,Croatia,Zagreb,,Digital Pioneer,,,"SW Eng, Cybersecurity, AI, Data Science, Digital Marketing, Game Design",,algebra.hr/sveuciliste/en,+385 1 5809 312,,,,,Lidija ŠIMRAK,Head of Intl. Office,lidija.simrak@algebra.hr,,Intl. Relations,international-office@algebra.hr,Petra CUCULIĆ MALENICA,Erasmus+,erasmus@algebra.hr
e0057,University of Zagreb,university,Balkans & E. Europe,Croatia,Zagreb,,Prestige Hub,,,"Sciences, Eng, Law, Medicine, Business, ICT, Arts",,unizg.hr,+385 1 4564 111,,,,,,Intl. Relations,iro@unizg.hr,for partnership proposals,IRO,iro@unizg.hr,,,
e0058,VERN' University,university,Balkans & E. Europe,Croatia,Zagreb,,Applied Leader,,,"Business, Media & Comms, ICT, Tourism, Applied Arts — entrepreneurial mission; VERN' Island School (Vis)",,vernuni.eu,+385 1 4825 000,,,,,,Intl. Relations,dean.duznovic@vern.hr,Dean DUŽNOVIĆ,Erasmus+ Coordinator,dean.duznovic@vern.hr,,,
e0059,CTU Prague,university,Balkans & E. Europe,Czech Rep.,Prague,,Digital Pioneer,,,"Eng, IT, Architecture, Robotics & Cybernetics",,cvut.cz,+420 224 353 436,,,,,,,international@cvut.cz,Ing. Jana RÜCKEROVÁ,Agreements,international@cvut.cz,Mgr. Helena HOUŠKOVÁ,Erasmus+ Coord.,
e0060,TalTech,university,Balkans & E. Europe,Estonia,Tallinn,,Digital Pioneer,,,"IT, Eng, Cybersecurity, e-Gov, Business — Mektory incubator on campus",,taltech.ee,+372 620 2022,,,,,,Intl. Relations,international@taltech.ee,Ann NEUDORF,Erasmus+,ann.neudorf@taltech.ee,,,
e0061,Corvinus University,university,Balkans & E. Europe,Hungary,Budapest,,Prestige Hub,,,"Intl. Management, Economics, Fintech, Social Sciences",,uni-corvinus.hu,+36 1 482 5000,,,,,Gábor SZALAI,Head of Intl. Office,gabor.szalai@uni-corvinus.hu,,Intl. Relations,international@uni-corvinus.hu,Zsófia VATTAY,Erasmus,erasmus@uni-corvinus.hu
e0062,UBT,university,Balkans & E. Europe,Kosovo,Prishtina,,Digital Pioneer,,,"Business, Tech, Eng, CS — Innovation Campus; UBT Accelerator; 5G Centre (Nokia)",,ubt-uni.net,+383 38 541 400,,,,,,Intl. Relations,internationaloffice@ubt-uni.net,IRO,,internationaloffice@ubt-uni.net,,,
e0063,Kaunas Univ. of Technology (KTU),university,Balkans & E. Europe,Lithuania,Kaunas,,Digital Pioneer,,,"Eng, IT, Design, Business — first Startup Space in Lithuania; largest sci-tech park in Baltics",,en.ktu.edu,+370 373 00 036,,,,,,,international@ktu.lt,Intl. Studies Office,,international@ktu.lt,,,
e0064,Univ. of Donja Gorica (UDG),university,Balkans & E. Europe,Montenegro,Podgorica,,Applied Leader,,,"IT, Business, Law, Arts, Design",,udg.edu.me,+382 20 410 777,,,,,,Intl. Relations,international@udg.edu.me,Ksenija ZEKOVIĆ,IRO,international@udg.edu.me,,,
e0065,University of Montenegro,university,Balkans & E. Europe,Montenegro,Podgorica,,Applied Leader,,,"Sciences, Eng, Law, Economics, Tourism",,ucg.ac.me,+382 20 414 255,,,,,Prof. Vladimir BOŽOVIĆ,Rector,,,,,,,
e0066,Intl. Balkan University (IBU),university,Balkans & E. Europe,N. Macedonia,Skopje,,Applied Leader,,,"Eng, Architecture, Economics, Fine Arts, Communication",,ibu.edu.mk,+389 2 3214 831,,,,,,Intl. Relations,iro@ibu.edu.mk,,,,,,
e0067,Univ. of Warsaw — Fac. of Mgmt,university,Balkans & E. Europe,Poland,Warsaw,,Prestige Hub,,,"Intl. Business (English), Entrepreneurship Center, Management",,wz.uw.edu.pl,+48 22 553 4000,,,,,Dr. hab. Katarzyna DZIEWANOWSKA,Vice-Dean Intl. Affairs,outgoing@wz.uw.edu.pl,,Intl. Relations,outgoing@wz.uw.edu.pl,,,
e0068,Babeș-Bolyai (UBB),university,Balkans & E. Europe,Romania,Cluj-Napoca,,Prestige Hub,,,"Business, IT, Eng, Intl. Relations, Political Science",,ubbcluj.ro,+40 264 405 300,,,,,,Intl. Relations,cci@ubbcluj.ro,,,,,,
e0069,University of Bucharest,university,Balkans & E. Europe,Romania,Bucharest,,Applied Leader,,,"Sciences, Law, Humanities, Business, IT",,unibuc.ro,+40 21 307 7300,,,,,,Intl. Relations,international@unibuc.ro,,,,,,
e0070,Singidunum University,university,Balkans & E. Europe,Serbia,Belgrade,,Digital Pioneer,,,"Informatics, Computing, Applied AI, Business, Tourism, Media — Oracle & Red Hat certified training partner",,singidunum.ac.rs,+381 11 3094 041,,,,,,,internationaloffice@singidunum.ac.rs,Intl. Office,,internationaloffice@singidunum.ac.rs,,,
e0071,University of Belgrade,university,Balkans & E. Europe,Serbia,Belgrade,,Prestige Hub,,,"Eng, Medicine, Law, Sciences, IT, Economics",,bg.ac.rs,+381 11 3207 400,,,,,,Intl. Relations,branka.janda.markovic@rect.bg.ac.rs,Branka JANDA-MARKOVIĆ (+381 11 3207 445),Head of IRO,,,,
e0072,University of Novi Sad,university,Balkans & E. Europe,Serbia,Novi Sad,,Applied Leader,,,"Sciences, Eng, Agriculture, Medicine, IT",,uns.ac.rs,+381 21 485 2000,,,,,,,international@uns.ac.rs,Intl. Relations,,international@uns.ac.rs,,,
e0073,University of Ljubljana,university,Balkans & E. Europe,Slovenia,Ljubljana,,Prestige Hub,,,"Sciences, Eng, Business (triple-crown SEB), Arts, CS",,uni-lj.si,+386 1 2418 500,,,,,Bibi OVASKA,Head of Intl. Office,bibi.ovaska@uni-lj.si,,Intl. Relations,intern.office@uni-lj.si,,,
e0074,GEA College,university,Balkans & E. Europe,Slovenia,Ljubljana,,Applied Leader,,,"Entrepreneurship, Business, Innovation, Finance",,gea-college.si,+386 1 4230 066,,,,,,,,,,,,,
e0075,Univ. of Nova Gorica,university,Balkans & E. Europe,Slovenia,Nova Gorica,,Applied Leader,,,"Env. Sciences, Arts, Eng, Physics",,ung.si,+386 5 6205 820,,,,,,,,,,,,,
e0076,NYUAD,university,GCC,Arab Emirates,,Hot,,Hot,,,Summer School,,,30 September 2025,,Proposta fuori,,,,,,,,,,
e0077,Zayed University,university,GCC,Arab Emirates,,Warm,,Medium,,,Seasonal School,,,20 September 2025,,Attesa strada da seguire per AY 2025/26,,,,,,,,,,
e0078,University of Business and Technology (UBT),university,GCC,Saudi Arabia,,Cold,,Cold,,,"- Summer Schools
- Student and Faculty Exchange
- Tailor-made courses (Start Online and Finish on Campus)
- 'J Term like'",,,12 May 2025,,,,,,,,,,,,
e0079,Bisha University,university,GCC,Saudi Arabia,,Cold-storage,,No answer,,,"- Summer Schools
- Student and Faculty Exchange
- Tailor-made courses (Start Online and Finish on Campus)
- 'J Term like'",,,12 May 2025,,,,,,,,,,,,
e0080,Princess Nourah bint Abdulrahman University,university,GCC,Saudi Arabia,,Cold-storage,,No answer,,,"- Summer Schools
- Student and Faculty Exchange
- Tailor-made courses (Start Online and Finish on Campus)
- 'J Term like'",,,12 May 2025,,,,,Beneficiary Services,dgs-aa@pnu.edu.sa,,,,,,
e0081,Arab Open University,university,GCC,Saudi Arabia,,Cold-storage,,No answer,,,Synergies,,,7 April 2025,,,,Bagadeem,Vice President,bagadeem@arabou.edu.sa,,,,,,
e0082,University of Dubai,university,GCC,Arab Emirates,,Not interested,,Not interested,,,Summer School,,,2026-03-30,,,,,,,,,,,,
e0083,Abu Dhabi University (ADU),university,GCC,Arab Emirates,,Not interested,,Bounced,,,Summer Programs 2026 outreach,,,2026-03-30,,Wrong email — bounced; find new contact,,,Study Abroad office,studyabroad@adu.ac.ae,,,,,,
e0084,Sorbonne University Abu Dhabi (SUAD),university,GCC,Arab Emirates,,Cold,,Mail sent,,,Summer Programs 2026 outreach,,,2026-03-30,,,,,,,,,,,,
e0085,BITS Pilani Dubai Campus,university,GCC,Arab Emirates,,Cold,,Mail sent,,,Summer Programs 2026 outreach,,,2026-03-30,,,,,International Office,,,,,,,
e0086,Curtin University Dubai,university,GCC,Arab Emirates,,Not interested,,Bounced,,,Summer Programs 2026 outreach,,,2026-03-30,,Wrong email — bounced; find new contact,,,,,,,,,,
e0087,Amity University Dubai,university,GCC,Arab Emirates,,Cold,,Mail sent,,,Summer Programs 2026 outreach,,,2026-03-30,,,,,,,,,,,,
e0088,University of Birmingham Dubai,university,GCC,Arab Emirates,,Warm,,Replied,,,Summer Programs 2026 outreach,,,2026-03-30,,Got response (ticket 6070963); follow up,,,,,,,,,,
e0089,British University in Dubai (BUiD),university,GCC,Arab Emirates,,Cold,,Mail sent,,,Summer Programs 2026 outreach,,,2026-03-30,,,,,,,,,,,,
e0090,HBMSU (Hamdan Bin Mohammed Smart Univ.),university,GCC,Arab Emirates,,Not interested,,Bounced,,,Summer Programs 2026 outreach,,,2026-03-30,,Wrong email — bounced; find new contact,,,,,,,,,,
e0091,American University in Dubai (AUD),university,American Us — Middle East,Dubai,,,,,,"Business, Engineering, Architecture, Communication",,www.aud.edu,+971 4 399 9000,,,,,,Intl. Relations,studyabroad@aud.edu,,,,,,
e0092,Rochester Institute of Technology Dubai (RIT Dubai),university,American Us — Middle East,Dubai,,,,,,"Engineering, Computing, Business, Design",,www.rit.edu/dubai,+971 4 371 2000,,,,,,Intl. Relations,global@rit.edu,,,,,,
e0093,Hult International Business School Dubai,university,American Us — Middle East,Dubai,,,,,,"MBA, International Business",,www.hult.edu/dubai,+971 4 457 0200,,,,,,Intl. Relations,info.mea@hult.edu,,,,,,
e0094,American University of Beirut (AUB),university,American Us — Middle East,Lebanon,,,,,,"Medicine, Engineering, Business, Humanities",,www.aub.edu.lb,+961 1 374374,,,,,,Intl. Relations,oip@aub.edu.lb,,,,,,
e0095,Lebanese American University (LAU),university,American Us — Middle East,Lebanon,,,,,,"Pharmacy, Medicine, Engineering, Business",,www.lau.edu.lb,+961 1 786456,,,,,,Intl. Relations,international.services@lau.edu.lb,,,,,,
e0096,Carnegie Mellon University in Qatar (CMU-Q),university,American Us — Middle East,Qatar,,,,,,"Computer Science, Business, Biology, Information Systems",,www.qatar.cmu.edu,+974 4454 8500,,,,,,,,,,,,,
e0097,Georgetown University in Qatar (GU-Q),university,American Us — Middle East,Qatar,,,,,,"International Relations, Diplomacy, Political Science",,www.qatar.georgetown.edu,+974 4457 8100,,,,,,Intl. Relations,epeq@georgetown.edu,,,,,,
e0098,Texas A&M University at Qatar (TAMUQ),university,American Us — Middle East,Qatar,,,,,,"Chemical, Electrical, Petroleum, Mechanical Engineering",,www.qatar.tamu.edu,+974 4423 0000,,,,,,Intl. Relations,tamuq@qatar.tamu.edu,,,,,,
e0099,Northwestern University in Qatar (NU-Q),university,American Us — Middle East,Qatar,,,,,,"Journalism, Media, Communication, Game Design",,www.qatar.northwestern.edu,+974 4454 5300,,,,,,Intl. Relations,nuq@northwestern.edu,,,,,,
e0100,Weill Cornell Medicine-Qatar (WCM-Q),university,American Us — Middle East,Qatar,,,,,,Medicine (M.D.),,www.qatar-med.cornell.edu,+974 4492 8484,,,,,,General Info,wcmq@qatar-med.cornell.edu,,,,,,
e0101,VCUarts Qatar (Virginia Commonwealth University),university,American Us — Middle East,Qatar,,,,,,"Graphic Design, Interior Design, Painting, Kinetic Imaging, Art History, MFA Design",,www.qatar.vcu.edu,+974 4402 0777,,,,,,Intl. Relations,vcuqpartners@vcu.edu,,,,,,
e0102,Arkansas State University Qatar (A-State Qatar),university,American Us — Middle East,Qatar,,,,,,"Computer Science, Digital Technology & Design, Engineering Management, Education, Psychology",,www.astateqatar.com,+974 7771 5438,,,,,,,,,,,,,
e0103,New York University Abu Dhabi (NYUAD),university,American Us — Middle East,UAE – Abu Dhabi,,,,,,"Liberal Arts, Engineering, Research",,www.nyuad.nyu.edu,+971 2 628 5511,,,,,,Intl. Relations,nyuad.externalrelations@nyu.edu,,,,,,
e0104,American University of Sharjah (AUS),university,American Us — Middle East,UAE – Sharjah,,,,,,"Engineering, Business, Architecture, Sciences",,www.aus.edu,+971 6 515 5555,,,,,,Intl. Relations,ixo@aus.edu,,,,,,
e0105,American University of Madaba (AUM),university,American Us — Middle East,Jordan,,,,,,"Engineering, Health Sciences, Business, IT, Architecture",,www.aum.edu.jo,+962 5 329 4444,,,,,,Intl. Relations,ir@aum.edu.jo,,,,,,
e0106,The American University in Cairo (AUC),university,American Us — Middle East,Egypt,,,,,,"Liberal Arts, Business, Engineering, Sciences, Arabic Studies",,www.aucegypt.edu,+20 2 2615 1000,,,,,,Intl. Relations,ipso@aucegypt.edu,,,,,,
e0107,American University of the Middle East (AUM-Kuwait),university,American Us — Middle East,Kuwait,,,,,,"Engineering, Business Administration, MBA, Liberal Arts",,www.aum.edu.kw,+965 2225 1400,,,,,,Intl. Relations,info@aum.edu.kw,,,,,,
e0108,Royal University for Women (RUW),university,American Us — Middle East,Bahrain,,,,,,"Business, Law, Art & Design, Architecture, MFA, MBA",,www.ruw.edu.bh,+973 1776 4444,,,,,,Intl. Relations,info@ruw.edu.bh,,,,,,
e0109,"American University of Iraq, Sulaimani (AUIS)",university,American Us — Middle East,Iraq – Sulaimani,,,,,,"Business, Engineering, IT, International Studies, Journalism, MBA",,www.auis.edu.krd,+964 770 461 5555,,,,,,Intl. Relations,info@auis.edu.krd,,,,,,
e0110,American University of Kurdistan (AUK),university,American Us — Middle East,Iraq – Duhok,,,,,,"Engineering, Business, Arts & Sciences, Nursing",,www.auk.edu.krd,+964 751 741 4101,,,,,,Intl. Relations,info@auk.edu.krd,,,,,,
e0111,Sichuan University,university,Asia,China,,,,,,,,,,,,,,,,,,,,,,
e0112,Phuket Rajabhat University,university,Asia,Thailand,,,,,,,,,,,,,,,,,,,,,,
e0113,Chula University,university,Asia,Thailand,,,,,,,,,,,,,,,,,,,,,,
e0114,Dongguk University,university,Asia,South Korea,,Cold-storage,,No answer,,,Summer Schools 2025,,,5 February 2025,,,,,,,,,,,,
e0115,Yangzhou University,university,Asia,China,,Cold,,Mail sent,,,Summer Programs 2026 outreach,,,2026-03-30,,,,,,,,,,,,
e0116,TCZJ,university,Asia,China,,Cold,,Mail sent,,,Summer Programs 2026 outreach,,,2026-03-30,,,,,,,,,,,,
e0117,Communication University of China,university,Asia,China,,Cold,,Auto-reply,,,Summer Programs 2026 outreach,,,2026-03-30,,Auto-reply received from 国际学院 (Int'l School),,,,,,,,,,
e0118,Ewha Womans University,university,Asia,South Korea,,Cold,,Mail sent,,,Summer Programs 2026 outreach,,,2026-03-30,,,,,,,,,,,,
e0119,Koreatech University,university,Asia,South Korea,,Cold,,Mail sent,,,Summer Programs 2026 outreach,,,2026-03-30,,,,,,,,,,,,
e0120,Catholic University of Korea,university,Asia,South Korea,,Cold,,Mail sent,,,Summer Programs 2026 outreach,,,2026-03-30,,,,,,,,,,,,
e0121,Yonsei University,university,Asia,South Korea,,Cold,,Mail sent,,,Summer Programs 2026 outreach,,,2026-03-30,,,,,,,,,,,,
e0122,Hanyang University,university,Asia,South Korea,,Not interested,,Bounced,,,Summer Programs 2026 outreach,,,2026-03-30,,Wrong email — bounced; find new contact,,,,,,,,,,
e0123,SUSTech (Southern U of Science & Technology),university,Asia,China,,Cold,,Mail sent,,,Summer Programs 2026 outreach,,,2026-03-30,,,,,,,,,,,,
e0124,Renmin University of China (RUC),university,Asia,China,,Cold,,Mail sent,,,Summer Programs 2026 outreach,,,2026-03-30,,,,,,,,,,,,
e0125,Shanghai U of Finance & Economics (SUFE),university,Asia,China,,Cold,,Mail sent,,,Summer Programs 2026 outreach,,,2026-03-30,,,,,,,,,,,,
e0126,Lynn University,university,North America,USA (Florida),,Up & Running,,Up and Running,,,RT Good,,,30 September 2025,,,,,,,,,,,,
e0127,Georgetown,university,North America,USA (Massach),,Cold,,Stand By,,,Valeria Bellagamba,,,29 August 2025,,,,,,,,,,,,
e0128,Maryland Uni,university,North America,USA,,,,,,,Deni,,,,,,,,,,,,,,,
e0129,FIT,university,North America,USA (New York),,Warm,,Warm,,,Sumemr School,,,15 September 2025,,,,,,,,,,,,
e0130,Bishop's University,university,North America,Canada,,Cold-storage,,No answer,,,"- Synergies
- Summer Schools",,,31 March 2025,,,,Chantal Estevez,Admission Office,cestevez@ubishops.ca,,,,,,
e0131,Saint Mary's University,university,North America,Canada,,Cold-storage,,No answer,,,"- Synergies
- Summer Schools",,,31 March 2025,,,,Candace Simms,Admission Office,candace.simms@smu.ca,,,,,,
e0132,Williams College,university,North America,USA (Massachusetts),,Not interested,,Bounced,,,Summer Programs 2026 outreach,,,2026-03-30,,Wrong email — bounced; find new contact,,,,,,,,,,
e0133,Colby College,university,North America,USA (Maine),,Cold,,Mail sent,,,Summer Programs 2026 outreach,,,2026-03-30,,,,,,,,,,,,
e0134,Claremont McKenna College,university,North America,USA (California),,Cold,,Mail sent,,,Summer Programs 2026 outreach,,,2026-03-30,,,,,,,,,,,,
e0135,Universidad San Ignacio de Loyola (USIL),university,Latin America,Peru,,Not interested,,Bounced,,,Summer Programs 2026 outreach,,,2026-03-30,,Wrong email — bounced; find new contact,,,,,,,,,,
e0136,Universidad del Pacifico,university,Latin America,Peru,,Cold,,Auto-reply,,,Summer Programs 2026 outreach,,,2026-03-30,,Out of office auto-reply,,,,,,,,,,
e0137,UNISINOS,university,Latin America,Brazil,,Warm,,Replied,,,Summer Programs 2026 outreach,,,2026-03-30,,"Portuguese reply: 'Olá, tudo bem? Percebemos que você ai...'",,,,,,,,,,
e0138,Tecnológico de Monterrey,university,Latin America,Mexico,,Not interested,,Bounced,,,Summer Programs 2026 outreach,,,2026-03-30,,Wrong email — bounced; find new contact,,,,,,,,,,
e0139,Monash University,university,Oceania,Australia,,Warm,,Medium,,Busienss and Marketing,Summer Schools,,,Sept 2025,,Aspettare che ritornino ma su AY 26/27,,,,,,,,,,
e0140,University of Central Asia,university,Central Asia,"Tajikistan
Kazakhstan
Kyrgyzstan",,Not interested,,Not interested,,,"Synergies
Summer Schools",,,29 January 2025,,,,,,,,,,,,
e0141,American University of Central Asia (AUCA),university,Central Asia,Kyrgyzstan,,Cold-storage,,No answer,,,Synergies,,,29 January 2025,,,,,International students office,international@auca.kg,,,,,,
e0142,KIMEP University,university,Central Asia,Kazakhstan,,Not interested,,Not interested,,,Synergies,,,29 January 2025,,,,Mrs. Nailya Demirdogen,Director of International Office,international@kimep.kz,,,,,,
